shopid;orderid;buyerid;itemid;gmv;order_time
2542;1042018;4634;4133746;63.0;20/05/2020
2070;1042024;3637;8862161;12.0;11/04/2020
2867;1042030;3407;6734648;44.0;16/05/2020
2517;1042035;1311;1547405;51.0;23/01/2020
2025;1042038;2949;3399761;72.0;21/09/2020
2266;1042042;1208;9189206;39.0;15/05/2020
2274;1042048;1450;6722626;96.0;14/07/2020
2470;1042052;1433;3159392;79.0;12/04/2020
2997;1042060;2202;8288730;44.0;14/02/2020
2098;1042062;2416;2789693;38.0;19/03/2020
2337;1042066;4469;5760621;22.0;12/04/2020
2939;1042072;3483;4362464;84.0;31/07/2020
2576;1042078;1092;7373014;32.0;11/12/2020
2387;1042088;4611;6520372;11.0;02/03/2020
2439;1042089;1291;3471923;78.0;06/06/2020
2003;1042096;3460;7302941;6.0;23/06/2020
2845;1042106;3362;8972470;93.0;06/12/2020
2467;1042115;3663;3967338;93.0;19/01/2020
2593;1042121;1830;7140664;55.0;07/03/2020
2958;1042122;4374;7784384;86.0;06/02/2020
2339;1042123;1080;3269125;87.0;02/04/2020
2387;1042124;3244;5849837;20.0;09/11/2020
2949;1042127;4940;5577581;60.0;18/05/2020
2701;1042131;2550;6739215;31.0;19/08/2020
2981;1042136;3149;3102514;34.0;30/09/2020
2547;1042142;3254;6036366;7.0;02/03/2020
2847;1042145;2923;6480033;55.0;16/01/2020
2825;1042153;4514;4960827;35.0;25/01/2020
2669;1042163;1813;4640824;5.0;11/02/2020
2906;1042167;4483;6405093;27.0;09/06/2020
2837;1042170;4849;8639203;39.0;06/10/2020
2590;1042174;3189;3727672;94.0;04/02/2020
2452;1042175;4398;2722019;34.0;01/01/2020
2875;1042184;1302;8513655;67.0;03/08/2020
2352;1042190;2976;7145097;35.0;26/02/2020
2885;1042196;4962;5288399;7.0;01/03/2020
2640;1042206;3299;9144930;72.0;06/09/2020
2524;1042211;1715;2212338;97.0;12/08/2020
2868;1042219;3473;8313764;91.0;01/02/2020
2517;1042228;1789;2001490;2.0;01/09/2020
2944;1042231;3143;5069167;83.0;16/02/2020
2344;1042235;4996;7190573;38.0;27/12/2020
2160;1042244;1717;4287301;66.0;15/01/2020
2854;1042249;2232;8057779;41.0;29/03/2020
2351;1042250;3013;7284214;28.0;03/10/2020
2013;1042251;4169;7588758;49.0;10/10/2020
2646;1042258;2616;7759021;49.0;25/08/2020
2069;1042260;1692;5367552;66.0;03/10/2020
2871;1042269;4334;1709741;74.0;16/06/2020
2625;1042274;1328;5433154;85.0;22/10/2020
2631;1042284;1040;2615310;92.0;25/05/2020
2292;1042294;4190;1759325;21.0;12/06/2020
2816;1042303;1873;3742393;92.0;01/11/2020
2068;1042311;3871;4846662;8.0;26/09/2020
2318;1042317;2595;7753064;26.0;12/02/2020
2920;1042325;2701;7667691;95.0;21/10/2020
2684;1042331;2471;9146289;32.0;08/11/2020
2235;1042335;4225;3892509;38.0;01/10/2020
2196;1042337;4675;3443457;85.0;22/07/2020
2306;1042345;3960;8513725;92.0;25/06/2020
2235;1042351;2508;5814891;23.0;09/03/2020
2172;1042358;3433;6995772;46.0;17/11/2020
2824;1042368;4810;2734264;87.0;26/05/2020
2917;1042378;2827;8795414;69.0;24/01/2020
2018;1042381;4072;1699957;95.0;03/11/2020
2579;1042386;4585;3741896;83.0;29/02/2020
2258;1042396;4776;8428289;48.0;28/08/2020
2564;1042405;3839;8994957;16.0;22/10/2020
2428;1042413;2472;2353913;21.0;06/07/2020
2839;1042421;2555;9162516;85.0;05/05/2020
2529;1042430;4875;3910935;42.0;24/10/2020
2862;1042440;4856;6466871;52.0;24/10/2020
2717;1042446;3421;2929916;4.0;09/08/2020
2952;1042455;4040;4202033;34.0;10/09/2020
2667;1042458;4766;9115555;72.0;28/07/2020
2625;1042461;4868;5640572;37.0;07/02/2020
2920;1042469;4571;5902698;27.0;05/06/2020
2869;1042478;2780;1319622;47.0;07/10/2020
2742;1042479;4302;8654634;56.0;16/02/2020
2793;1042484;3769;5084973;2.0;21/11/2020
2596;1042491;1745;7674292;76.0;08/10/2020
2112;1042498;1964;3081446;87.0;10/06/2020
2586;1042506;4417;4333103;36.0;06/11/2020
2666;1042514;3318;3893117;49.0;07/07/2020
2880;1042522;1127;6261258;94.0;30/07/2020
2976;1042528;3667;8181899;12.0;22/04/2020
2107;1042536;1842;8379121;37.0;18/03/2020
2921;1042545;1577;7414718;58.0;18/08/2020
2264;1042549;1996;2992012;56.0;23/02/2020
2910;1042552;1169;3930225;77.0;22/01/2020
2443;1042554;4091;1672732;19.0;27/01/2020
2012;1042564;2214;1408109;73.0;05/12/2020
2038;1042567;1400;3911725;83.0;22/04/2020
2937;1042568;2980;2647701;43.0;14/03/2020
2914;1042571;3116;6614305;17.0;16/08/2020
2581;1042572;3937;9144065;56.0;23/07/2020
2915;1042573;3957;2403988;72.0;15/08/2020
2911;1042577;4555;2556735;19.0;27/11/2020
2275;1042578;2241;9282904;84.0;12/04/2020
2716;1042588;3141;7245033;83.0;26/11/2020
2295;1042597;1419;2044715;8.0;19/06/2020
2448;1042605;4049;4739481;20.0;21/10/2020
2917;1042607;1098;1362288;99.0;24/11/2020
2797;1042616;1767;1449376;38.0;19/12/2020
2145;1042621;3290;5969683;83.0;27/06/2020
2042;1042622;2175;4971987;50.0;22/11/2020
2188;1042630;3483;2746794;81.0;28/03/2020
2199;1042638;3463;8155519;7.0;27/09/2020
2554;1042645;2984;2212528;63.0;08/12/2020
2456;1042653;1031;6534538;83.0;17/12/2020
2291;1042658;3116;8327049;100.0;22/05/2020
2956;1042667;4034;1333178;8.0;22/07/2020
2968;1042675;1673;6406298;3.0;23/07/2020
2922;1042682;3003;5584329;88.0;21/12/2020
2436;1042691;2215;8908206;30.0;31/08/2020
2052;1042694;3603;9098768;61.0;06/09/2020
2301;1042695;4927;7934516;8.0;31/10/2020
2460;1042701;2175;4895957;85.0;15/03/2020
2209;1042702;2407;9068725;57.0;19/10/2020
2717;1042710;4481;6693586;10.0;19/09/2020
2516;1042717;4267;4695702;50.0;14/12/2020
2825;1042726;2644;2227272;37.0;07/09/2020
2459;1042733;4047;9054492;41.0;16/10/2020
2516;1042741;1415;3925793;44.0;05/07/2020
2970;1042744;3275;4588746;98.0;16/06/2020
2073;1042751;3801;3185719;58.0;01/07/2020
2000;1042755;4283;4006887;91.0;21/12/2020
2878;1042757;4151;2853983;51.0;21/12/2020
2874;1042761;2580;6334132;33.0;03/01/2020
2523;1042764;3303;3915830;27.0;15/06/2020
2361;1042769;2126;2440582;81.0;09/08/2020
2379;1042775;1655;6120142;41.0;11/11/2020
2943;1042780;1908;2699900;73.0;21/05/2020
2025;1042787;4445;2944900;46.0;06/03/2020
2657;1042789;3424;6795436;3.0;14/03/2020
2400;1042797;2962;2808795;84.0;21/10/2020
2582;1042800;2372;5255689;83.0;03/04/2020
2513;1042802;4253;3912903;61.0;19/09/2020
2274;1042810;2602;3159503;81.0;29/08/2020
2220;1042811;2752;7736022;27.0;10/11/2020
2885;1042817;1738;7973345;66.0;25/06/2020
2301;1042818;3257;9161598;7.0;06/12/2020
2991;1042819;1829;4678560;23.0;13/08/2020
2801;1042826;3382;6202521;31.0;15/02/2020
2358;1042834;4363;7943373;70.0;03/12/2020
2537;1042844;1527;8305677;36.0;12/10/2020
2986;1042849;2356;2324004;24.0;12/03/2020
2470;1042853;2936;8924226;5.0;28/05/2020
2931;1042861;3218;2587952;78.0;30/05/2020
2499;1042871;4329;7041777;62.0;17/03/2020
2114;1042880;2152;5545495;67.0;09/01/2020
2994;1042890;3467;3879083;66.0;25/06/2020
2091;1042900;1118;3031485;38.0;29/06/2020
2861;1042909;4410;7814390;82.0;06/10/2020
2446;1042919;3152;9144514;4.0;07/10/2020
2141;1042921;3745;7737473;80.0;08/07/2020
2306;1042923;2233;4555870;36.0;25/06/2020
2637;1042929;1954;5695984;7.0;08/04/2020
2449;1042933;4369;2434363;58.0;04/10/2020
2907;1042943;3672;5648858;92.0;02/11/2020
2384;1042946;2609;3415865;55.0;05/04/2020
2216;1042949;3783;5057070;42.0;09/06/2020
2749;1042952;4123;8910811;48.0;07/02/2020
2152;1042956;2833;1861946;54.0;13/05/2020
2463;1042964;2009;6057996;32.0;22/10/2020
2921;1042967;3634;4392104;93.0;08/03/2020
2708;1042968;3541;3869979;42.0;14/03/2020
2880;1042969;3765;7159429;2.0;28/08/2020
2103;1042975;2420;6904458;31.0;15/12/2020
2200;1042985;1869;7416182;46.0;11/01/2020
2907;1042988;3789;1310109;81.0;10/01/2020
2429;1042994;1214;9079591;94.0;05/10/2020
2579;1042996;3825;6267435;76.0;04/05/2020
2291;1042999;2051;3357619;28.0;04/11/2020
2320;1043004;1006;8738426;50.0;06/08/2020
2038;1043009;3161;3897443;30.0;09/10/2020
2790;1043012;2962;3171049;25.0;07/02/2020
2036;1043014;3368;6683577;91.0;22/02/2020
2298;1043021;2686;4756355;95.0;20/08/2020
2978;1043031;4151;6747389;39.0;09/06/2020
2934;1043034;2053;5483762;58.0;11/11/2020
2896;1043043;1798;8679736;50.0;23/04/2020
2914;1043051;3568;2290535;16.0;24/11/2020
2737;1043057;3051;5348236;78.0;05/05/2020
2420;1043062;3356;5840939;44.0;26/07/2020
2796;1043063;1993;4923451;13.0;05/09/2020
2754;1043072;2867;5051044;14.0;26/03/2020
2592;1043077;1713;3718119;12.0;15/04/2020
2963;1043083;1214;4430357;5.0;24/07/2020
2943;1043084;4519;4049951;98.0;27/10/2020
2740;1043087;4289;3873222;40.0;11/05/2020
2345;1043097;2961;7047291;85.0;04/06/2020
2470;1043103;2663;7423831;72.0;25/11/2020
2069;1043113;2781;1934046;49.0;22/02/2020
2108;1043120;1510;9245364;96.0;10/04/2020
2238;1043127;4155;4541134;10.0;17/09/2020
2496;1043129;1707;3207244;40.0;04/12/2020
2809;1043139;2109;3285554;31.0;19/08/2020
2817;1043144;4566;5382682;6.0;11/07/2020
2542;1043146;1524;2025796;57.0;25/04/2020
2805;1043152;4501;7438147;42.0;10/03/2020
2710;1043153;1320;4973028;86.0;13/02/2020
2672;1043158;4481;8566119;53.0;24/08/2020
2443;1043167;3783;7142128;3.0;23/07/2020
2746;1043168;1047;2303645;2.0;03/07/2020
2912;1043172;1726;3048049;7.0;29/06/2020
2238;1043178;1356;8189610;70.0;25/01/2020
2555;1043182;3861;7151405;94.0;18/08/2020
2557;1043189;1058;4885018;31.0;21/02/2020
2345;1043193;2190;6769853;45.0;01/07/2020
2756;1043203;2294;1335656;41.0;15/09/2020
2602;1043212;3231;2876761;74.0;29/05/2020
2523;1043213;4288;3273553;29.0;31/07/2020
2290;1043222;1152;4603634;71.0;01/06/2020
2658;1043223;1552;3612601;94.0;28/05/2020
2401;1043226;1410;5571292;36.0;16/12/2020
2824;1043231;2852;7083870;83.0;22/09/2020
2879;1043236;4022;6696062;13.0;14/04/2020
2327;1043245;3884;4642174;12.0;08/08/2020
2631;1043255;1869;3117015;83.0;31/07/2020
2761;1043264;1308;3213212;64.0;30/03/2020
2701;1043272;2883;2603169;13.0;23/07/2020
2822;1043280;4784;2122107;26.0;09/11/2020
2797;1043284;4134;6901736;72.0;14/02/2020
2668;1043291;4011;8873765;85.0;25/06/2020
3000;1043292;4546;6505048;57.0;14/11/2020
2840;1043301;1304;4013519;10.0;26/03/2020
2557;1043304;2605;6093950;27.0;11/09/2020
2130;1043311;1307;8366104;59.0;24/12/2020
2433;1043317;4897;4981004;83.0;14/04/2020
2721;1043322;1970;9095242;55.0;02/08/2020
2055;1043327;4196;6446838;23.0;27/01/2020
2760;1043329;1295;4910874;25.0;21/04/2020
2056;1043333;1157;2795715;98.0;05/04/2020
2725;1043337;4301;3216084;73.0;25/02/2020
2659;1043347;3769;2815644;49.0;13/09/2020
2141;1043351;1983;8819180;86.0;16/02/2020
2398;1043357;4502;6658698;29.0;08/01/2020
2803;1043362;1015;3101496;43.0;22/01/2020
2299;1043365;2075;4217628;44.0;09/07/2020
2861;1043373;3321;2922853;78.0;18/09/2020
2305;1043381;2629;6567889;78.0;20/04/2020
2311;1043384;2926;8925940;27.0;19/07/2020
2803;1043391;2415;8176721;8.0;26/04/2020
2080;1043398;2124;1665792;12.0;24/11/2020
2960;1043408;2004;4393833;5.0;14/10/2020
2260;1043410;3376;5137149;11.0;20/05/2020
2656;1043411;1519;5569582;96.0;17/06/2020
2039;1043414;4603;8132233;67.0;13/09/2020
2634;1043423;4914;4081869;66.0;06/07/2020
2541;1043431;4565;2428522;31.0;02/06/2020
2602;1043441;3253;3322590;66.0;11/03/2020
2860;1043450;3264;5783773;52.0;15/03/2020
2695;1043454;3326;4093722;92.0;25/07/2020
2154;1043460;2071;2218351;13.0;24/03/2020
2446;1043465;3566;7069596;83.0;13/10/2020
2498;1043475;3700;1882701;26.0;18/04/2020
2967;1043485;3706;5878991;15.0;23/09/2020
2732;1043494;4314;9195128;27.0;23/01/2020
2502;1043496;3930;7259104;59.0;04/10/2020
2380;1043503;4948;6765922;63.0;09/03/2020
2286;1043513;3314;4462294;14.0;24/11/2020
2330;1043516;3754;7853423;62.0;30/03/2020
2098;1043517;4164;6082822;64.0;09/06/2020
2820;1043522;1126;7056632;45.0;15/07/2020
2576;1043523;4985;3891885;89.0;05/05/2020
2837;1043532;1707;6058353;34.0;22/07/2020
2716;1043539;2519;6173209;24.0;10/08/2020
2303;1043541;2878;7805508;33.0;26/07/2020
2226;1043543;3110;6940982;26.0;15/01/2020
2316;1043550;3705;8663742;96.0;19/01/2020
2833;1043559;3234;3596644;89.0;27/01/2020
2353;1043565;2060;4163488;42.0;17/12/2020
2434;1043575;3829;7245367;88.0;14/11/2020
2613;1043581;4040;8161120;5.0;30/08/2020
2122;1043589;4774;6387280;87.0;17/06/2020
2090;1043597;2683;3576995;79.0;04/11/2020
2399;1043602;2245;4979323;74.0;04/11/2020
2283;1043604;4426;3547351;38.0;19/01/2020
2421;1043613;4592;1823509;12.0;15/03/2020
2206;1043618;1961;1899439;70.0;27/04/2020
2112;1043623;4505;3721042;73.0;04/03/2020
2004;1043625;2011;8224597;46.0;02/02/2020
2836;1043627;1311;5256250;97.0;20/06/2020
2764;1043636;4232;8271222;95.0;24/07/2020
2404;1043643;2880;2893769;50.0;24/11/2020
2375;1043645;4916;6677277;26.0;19/07/2020
2774;1043651;4955;4789712;33.0;08/04/2020
2088;1043658;2124;8195612;88.0;27/07/2020
2259;1043660;2979;3144271;30.0;24/03/2020
2466;1043662;1323;2625727;58.0;01/12/2020
2004;1043669;3080;9272151;84.0;13/03/2020
2855;1043678;1447;5492353;62.0;17/09/2020
2271;1043683;1854;1490755;11.0;21/08/2020
2644;1043685;2955;4616311;23.0;30/04/2020
2406;1043693;3517;3238800;90.0;09/08/2020
2653;1043703;3626;6118043;67.0;30/06/2020
2233;1043712;4829;2047076;95.0;15/01/2020
2772;1043716;2452;8907809;2.0;07/04/2020
2499;1043726;3546;8466152;71.0;25/12/2020
2391;1043730;3296;7570918;80.0;23/11/2020
2642;1043737;1705;3782258;2.0;14/06/2020
2412;1043742;3383;5906111;42.0;05/04/2020
2464;1043744;2245;1347970;89.0;08/09/2020
2182;1043747;2190;4608067;16.0;02/08/2020
2627;1043750;1599;5904303;60.0;17/09/2020
2788;1043751;1678;2479974;15.0;24/07/2020
2876;1043759;2571;2440493;66.0;23/12/2020
2672;1043766;3177;3361025;84.0;15/07/2020
2439;1043767;3521;6503762;4.0;14/02/2020
2078;1043771;2237;1814342;81.0;22/10/2020
2956;1043775;3908;3752525;94.0;05/07/2020
2902;1043783;4787;8114047;54.0;05/02/2020
2127;1043789;4549;6218257;32.0;24/01/2020
2687;1043795;1117;2450084;4.0;01/09/2020
2487;1043799;4058;2652211;65.0;04/09/2020
2801;1043802;1705;2168698;58.0;12/03/2020
2407;1043811;1681;5333499;36.0;26/12/2020
2479;1043814;1333;1638483;35.0;04/11/2020
2884;1043817;1289;6287976;63.0;12/05/2020
2908;1043818;1045;5733125;100.0;27/12/2020
2645;1043822;3996;9248297;13.0;26/08/2020
2849;1043827;3593;8902650;2.0;22/03/2020
2073;1043834;2429;4236082;13.0;05/01/2020
2146;1043838;1205;1570532;27.0;10/09/2020
2212;1043839;2414;4129649;73.0;04/06/2020
2196;1043843;3832;6346253;37.0;23/10/2020
2231;1043845;3231;1322693;99.0;13/12/2020
2401;1043850;4862;8795224;36.0;15/09/2020
2100;1043858;3599;7072473;15.0;12/11/2020
2258;1043867;4443;5081355;80.0;14/04/2020
2368;1043872;1555;2184878;70.0;06/10/2020
2565;1043875;3661;7241085;84.0;06/12/2020
2346;1043879;1882;6985046;56.0;15/05/2020
2102;1043886;2705;8553295;23.0;27/07/2020
2089;1043892;3175;7047513;58.0;29/10/2020
2021;1043899;3035;5316467;32.0;04/11/2020
2710;1043905;1601;2061098;62.0;09/05/2020
2869;1043913;4935;2661766;25.0;18/02/2020
2150;1043919;1085;7704459;6.0;17/10/2020
2502;1043929;4556;6239381;58.0;09/11/2020
2750;1043933;4453;8351946;19.0;19/10/2020
2243;1043942;3396;3331677;78.0;02/06/2020
2826;1043946;2587;2055136;51.0;14/12/2020
2947;1043952;2774;2093145;98.0;25/05/2020
2822;1043959;3177;1834133;43.0;19/07/2020
2569;1043960;3060;3219372;70.0;03/05/2020
2403;1043969;2665;2149880;85.0;05/01/2020
2630;1043972;3398;1744517;86.0;04/06/2020
2264;1043979;2084;3384740;39.0;16/10/2020
2642;1043989;3861;1960273;64.0;27/11/2020
2750;1043999;1880;7365414;29.0;27/01/2020
2326;1044002;1683;5012043;91.0;06/11/2020
2807;1044006;4665;4354814;57.0;31/08/2020
2540;1044015;1360;5517462;3.0;06/10/2020
2280;1044024;4832;4276871;37.0;11/04/2020
2989;1044032;4767;5877074;56.0;21/01/2020
2146;1044036;3718;6284724;5.0;15/02/2020
2477;1044042;2323;8331320;79.0;29/10/2020
2066;1044047;4454;9192055;29.0;05/01/2020
2979;1044052;1683;2796245;26.0;23/05/2020
2948;1044058;2742;5392103;34.0;04/08/2020
2834;1044064;1215;7631107;15.0;27/01/2020
2968;1044074;1266;5130040;85.0;12/07/2020
2801;1044075;1063;9178951;13.0;25/10/2020
2344;1044077;4343;8893730;62.0;25/05/2020
2084;1044083;2722;5667184;96.0;02/11/2020
2029;1044088;1721;8813203;40.0;12/05/2020
2136;1044091;4107;2456480;67.0;21/09/2020
2820;1044098;2492;8418191;82.0;28/12/2020
2446;1044104;4591;3780549;26.0;20/12/2020
2671;1044110;3855;4745044;51.0;03/11/2020
2408;1044119;1956;3626424;3.0;04/03/2020
2562;1044122;4343;5017209;52.0;11/05/2020
2798;1044130;3512;5050267;93.0;06/04/2020
2142;1044132;2489;9267511;16.0;31/01/2020
2953;1044141;4016;8002388;61.0;24/01/2020
2037;1044144;1816;2901209;10.0;05/10/2020
2950;1044149;4585;5675730;67.0;03/02/2020
2374;1044150;2718;2148317;92.0;16/01/2020
2692;1044154;1675;5954790;32.0;23/09/2020
2246;1044159;1649;2220157;59.0;28/08/2020
2766;1044167;2224;5891161;3.0;29/02/2020
2257;1044173;4153;8883524;62.0;30/12/2020
2469;1044175;2862;4715677;45.0;23/06/2020
2278;1044182;4820;4882718;89.0;18/05/2020
2535;1044190;2771;3398518;38.0;15/08/2020
2326;1044196;3586;4522204;6.0;02/09/2020
2140;1044206;4527;8381921;43.0;15/07/2020
2104;1044213;3072;8641971;100.0;29/09/2020
2999;1044219;3930;4468294;58.0;07/03/2020
2472;1044221;1354;4498346;19.0;24/06/2020
2860;1044231;2014;8940903;18.0;05/10/2020
2649;1044233;3334;6157685;81.0;14/02/2020
2907;1044241;3858;4131381;73.0;13/12/2020
2945;1044242;2041;7903782;70.0;12/12/2020
2701;1044251;4168;8879792;49.0;18/07/2020
2787;1044252;1405;2438414;37.0;24/03/2020
2694;1044253;1661;2383611;98.0;10/04/2020
2548;1044254;2163;4482245;81.0;15/07/2020
2683;1044257;2060;8057917;99.0;22/07/2020
2099;1044261;2516;3653694;58.0;10/05/2020
2339;1044264;2078;3164622;87.0;11/09/2020
2648;1044270;4503;3734343;78.0;27/09/2020
2440;1044274;1137;6772066;93.0;26/03/2020
2899;1044282;1806;5376502;24.0;27/04/2020
2286;1044283;2434;4850576;85.0;31/10/2020
2533;1044290;3122;3305701;74.0;17/10/2020
2912;1044300;2978;4094030;7.0;02/03/2020
2859;1044308;1290;9232460;59.0;24/06/2020
2565;1044316;3639;3610318;63.0;02/12/2020
2585;1044318;2562;1725717;41.0;14/02/2020
2960;1044325;3006;8263701;93.0;23/04/2020
2573;1044330;1829;8702640;52.0;19/09/2020
2228;1044331;1918;1754647;13.0;18/09/2020
2258;1044334;2888;8197171;69.0;29/12/2020
2632;1044336;2741;8990035;16.0;30/09/2020
2373;1044337;1920;7418713;56.0;19/02/2020
2309;1044342;2028;1770907;24.0;20/11/2020
2346;1044347;4466;4035217;35.0;03/09/2020
2240;1044357;2288;7726156;24.0;12/11/2020
2902;1044359;4107;5906576;68.0;28/06/2020
2364;1044361;2383;7987395;44.0;26/02/2020
2704;1044371;4061;6475006;7.0;24/12/2020
2853;1044381;2935;4916155;72.0;03/06/2020
2663;1044387;1685;2065141;11.0;01/08/2020
2213;1044397;4277;3414299;19.0;18/05/2020
2744;1044400;3104;6976214;52.0;17/07/2020
2766;1044409;2059;7871406;41.0;20/04/2020
2077;1044414;3608;3441672;70.0;20/06/2020
2173;1044416;2664;4785764;99.0;09/10/2020
2213;1044422;2949;8178185;45.0;24/05/2020
2919;1044432;1357;7398976;46.0;28/10/2020
2481;1044442;4136;8459756;41.0;07/10/2020
2307;1044446;3768;4017233;43.0;28/01/2020
2593;1044455;4625;6782258;98.0;27/08/2020
2200;1044460;1999;4345597;86.0;26/02/2020
2562;1044470;1088;7894300;24.0;18/12/2020
2455;1044480;1936;5732478;68.0;26/07/2020
2276;1044487;4054;5343221;9.0;25/02/2020
2129;1044492;1914;7082792;75.0;08/06/2020
2205;1044498;3268;5357024;98.0;30/07/2020
2544;1044501;3052;1580774;44.0;13/04/2020
2124;1044505;1365;7152401;23.0;08/03/2020
2093;1044508;2181;7208550;2.0;26/11/2020
2053;1044510;2110;4783694;24.0;03/04/2020
2754;1044515;4129;7698896;90.0;07/09/2020
2005;1044524;3059;2971923;32.0;04/05/2020
2952;1044534;3217;7610327;46.0;27/09/2020
2599;1044540;3392;8491609;47.0;31/05/2020
2346;1044543;4578;8356368;76.0;12/10/2020
2692;1044546;3394;6117983;75.0;27/10/2020
2282;1044548;4736;3157201;53.0;20/07/2020
2332;1044550;4741;5052301;24.0;04/05/2020
2807;1044556;3923;1387257;25.0;27/04/2020
2621;1044565;1778;8081638;54.0;27/06/2020
2156;1044574;3167;6927714;61.0;22/03/2020
2095;1044575;1482;3420412;80.0;23/03/2020
2289;1044578;1514;9293404;7.0;08/11/2020
2203;1044585;3369;1305124;52.0;03/12/2020
2265;1044591;1277;3196798;26.0;03/11/2020
2555;1044598;2132;9263213;80.0;30/12/2020
2617;1044601;3453;6824725;20.0;02/04/2020
2336;1044607;1699;2097352;86.0;08/10/2020
2313;1044610;4467;8907876;39.0;01/10/2020
2234;1044619;2841;7877779;50.0;17/05/2020
2678;1044624;1211;4493791;75.0;09/08/2020
2473;1044626;1415;5654449;54.0;02/02/2020
2426;1044635;1156;6995127;69.0;24/11/2020
2362;1044642;1511;2910332;35.0;15/05/2020
2538;1044649;1987;9144256;53.0;06/12/2020
2767;1044659;3963;6911851;94.0;15/02/2020
2557;1044668;4745;1880214;58.0;14/02/2020
2831;1044672;4002;5338388;32.0;30/11/2020
2347;1044675;1982;5931181;98.0;05/09/2020
2509;1044682;2713;3726383;5.0;15/01/2020
2864;1044686;1649;7398989;76.0;16/08/2020
2055;1044689;3874;7810688;24.0;21/05/2020
2987;1044697;4746;2566358;39.0;18/10/2020
2613;1044704;2802;7330232;98.0;02/08/2020
2398;1044712;1951;7254593;18.0;17/06/2020
2169;1044719;3204;4881434;17.0;09/02/2020
2293;1044728;4455;5042910;67.0;29/03/2020
2271;1044731;4333;2615350;91.0;03/09/2020
2871;1044736;4464;4822049;33.0;05/06/2020
2053;1044746;2589;6706296;38.0;12/02/2020
2620;1044748;1918;8941262;45.0;25/05/2020
2325;1044749;4745;6827994;46.0;10/04/2020
2598;1044757;1405;4958521;27.0;01/05/2020
2241;1044762;2047;3127064;88.0;02/04/2020
2739;1044765;4102;9190147;3.0;19/09/2020
2655;1044770;1369;8463144;20.0;17/04/2020
2803;1044772;3201;8193742;22.0;07/03/2020
2898;1044776;2937;5518898;36.0;03/03/2020
2484;1044783;4337;6235475;72.0;19/04/2020
2067;1044792;3843;5297211;78.0;28/09/2020
2683;1044794;3170;6968518;8.0;17/07/2020
2338;1044804;4842;3190599;96.0;20/06/2020
2519;1044814;2038;6455479;76.0;19/11/2020
2551;1044823;3462;3814805;55.0;21/02/2020
2918;1044827;3980;3422874;100.0;27/03/2020
2114;1044831;3207;4793992;49.0;26/02/2020
2217;1044835;1200;4821955;34.0;18/03/2020
2587;1044840;2323;5207006;78.0;14/07/2020
2813;1044845;2701;1824579;36.0;29/07/2020
2183;1044851;1940;3306894;65.0;06/10/2020
2732;1044853;2612;2583240;39.0;27/12/2020
2704;1044861;2842;5304883;69.0;01/09/2020
2075;1044868;1517;4519105;74.0;03/01/2020
2525;1044877;3975;5636786;40.0;13/06/2020
2657;1044879;3388;2098376;89.0;11/11/2020
2086;1044880;3464;6791572;49.0;29/10/2020
2696;1044889;3596;6967251;14.0;18/06/2020
2467;1044894;2089;7215740;75.0;03/08/2020
2005;1044903;2422;5162596;58.0;27/12/2020
2519;1044905;1693;5413853;28.0;02/02/2020
2510;1044913;3266;6097601;97.0;27/08/2020
2986;1044923;4992;7125973;66.0;27/09/2020
2093;1044929;2789;9280945;81.0;19/10/2020
2537;1044935;2711;8534271;18.0;04/02/2020
2704;1044937;1524;8193550;95.0;21/09/2020
2059;1044943;4070;5272739;63.0;13/10/2020
2296;1044945;1349;3196427;7.0;23/02/2020
2315;1044951;3962;6293467;81.0;25/03/2020
2906;1044953;3096;1855011;90.0;14/04/2020
2586;1044961;4849;8061825;91.0;09/05/2020
2816;1044970;3544;4602226;30.0;22/05/2020
2082;1044976;4057;7953141;62.0;27/07/2020
2697;1044982;4373;7603059;17.0;10/01/2020
2160;1044986;3523;8280649;19.0;07/05/2020
2495;1044991;1007;3331473;74.0;04/10/2020
2364;1044995;3023;7977528;13.0;03/02/2020
2676;1045003;1626;3736204;59.0;01/12/2020
2852;1045008;1477;6112720;4.0;02/09/2020
2354;1045016;1002;6702537;10.0;11/11/2020
2035;1045026;1435;2178278;33.0;21/04/2020
2765;1045032;2131;8654810;39.0;26/04/2020
2292;1045033;1332;5371743;64.0;31/08/2020
2424;1045042;2881;1474801;30.0;20/12/2020
2081;1045047;1527;7997637;8.0;03/08/2020
2371;1045057;4577;5963706;55.0;03/12/2020
2009;1045066;3885;7430074;67.0;11/11/2020
2144;1045067;4969;2264024;85.0;14/02/2020
2516;1045075;1902;2410487;54.0;10/06/2020
2285;1045082;1225;4732459;57.0;13/05/2020
2809;1045083;1975;8926072;73.0;08/03/2020
2161;1045085;3564;1421741;15.0;18/01/2020
2695;1045091;4021;9032650;93.0;03/12/2020
2949;1045099;1127;5906741;46.0;08/08/2020
2976;1045109;3834;7659590;69.0;28/03/2020
2763;1045116;1579;9158722;43.0;03/04/2020
2568;1045126;3236;5043263;80.0;19/09/2020
2949;1045130;1905;4916266;62.0;16/12/2020
2138;1045140;4564;6045463;61.0;26/10/2020
2842;1045147;1883;4328745;32.0;18/07/2020
2942;1045156;2104;1691718;8.0;14/06/2020
2314;1045166;2982;2265099;60.0;12/03/2020
2620;1045176;1413;5594558;73.0;11/09/2020
2342;1045177;3997;8014000;51.0;04/12/2020
